Time (s),Speed (m/s),Sigma,Kill Rate,Mode,Row Spacing,Kill Total
300,6,9.9,0.9,4,0,7334.814269
300,6,9.9,0.9,4,0,7335.750188
300,6,9.9,0.9,4,0,7326.220537
300,6,9.9,0.9,4,0,7325.874339
300,6,9.9,0.9,4,0,7346.827389
300,6,9.9,0.9,4,0,7346.827365
300,6,9.9,0.9,4,0,7330.73932
300,6,9.9,0.9,4,0,7325.871081
300,6,9.9,0.9,4,0,7330.739503
300,6,9.9,0.9,4,0,7344.855251
300,6,9.9,0.9,4,0,7329.735033
300,6,9.9,0.9,4,0,7346.827389
300,6,9.9,0.9,4,0,7330.73932
300,6,9.9,0.9,4,0,7344.38207
300,6,9.9,0.9,5,0,9107.35863
300,6,9.9,0.9,5,0,9108.515402
300,6,9.9,0.9,5,0,9107.358456
300,6,9.9,0.9,5,0,9114.314378
300,6,9.9,0.9,5,0,9108.515342
300,6,9.9,0.9,5,0,9114.314675
300,6,9.9,0.9,5,0,9114.756913
300,6,9.9,0.9,5,0,9107.358643
300,6,9.9,0.9,5,0,9107.358443
300,6,9.9,0.9,5,0,9107.358441
300,6,9.9,0.9,5,0,9110.633417
300,6,9.9,0.9,5,0,9107.358457
300,6,9.9,0.9,5,0,9107.358583
300,6,9.9,0.9,5,0,9107.35863
300,6,9.9,0.9,5,0,9107.358441
300,6,9.9,0.9,5,0,9107.358583
300,6,9.9,0.9,5,0,9105.569667
300,6,9.9,0.9,5,0,9104.940228
300,6,9.9,0.9,5,0,9107.358457
300,6,9.9,0.9,5,0,9107.357923
300,6,19.8,0.5,1,1.98,1025.156168
300,6,19.8,0.5,1,4.95,595.9106589
300,6,19.8,0.5,1,9.9,12.29360593
300,6,19.8,0.5,1,19.8,12.29360593
300,6,19.8,0.5,2,1.98,1025.156168
300,6,19.8,0.5,2,4.95,595.9106589
300,6,19.8,0.5,2,9.9,12.29360593
300,6,19.8,0.5,2,19.8,12.29360593
300,6,19.8,0.5,3,1.98,1025.156168
300,6,19.8,0.5,3,4.95,595.9106589
300,6,19.8,0.5,3,9.9,12.29360593
300,6,19.8,0.5,3,19.8,12.29360593
300,6,19.8,0.5,4,0,2264.75358
300,6,19.8,0.5,4,0,2266.21465
300,6,19.8,0.5,4,0,2272.655098
300,6,19.8,0.5,4,0,2258.660052
300,6,19.8,0.5,4,0,2268.371718
300,6,19.8,0.5,4,0,2269.726132
300,6,19.8,0.5,4,0,2266.219003
300,6,19.8,0.5,4,0,2269.668417
300,6,19.8,0.5,4,0,2264.753587
300,6,19.8,0.5,4,0,2265.711391
300,6,19.8,0.5,4,0,2270.287062
300,6,19.8,0.5,4,0,2267.05595
300,6,19.8,0.5,4,0,2266.21465
300,6,19.8,0.5,4,0,2264.370436
300,6,19.8,0.5,4,0,2264.753581
300,6,19.8,0.5,4,0,2265.714736
300,6,19.8,0.5,4,0,2265.711567
300,6,19.8,0.5,4,0,2271.964234
300,6,19.8,0.5,4,0,2267.866354
300,6,19.8,0.5,4,0,2264.005997
300,6,19.8,0.5,5,0,3760.26641
300,6,19.8,0.5,5,0,3760.264742
300,6,19.8,0.5,5,0,3760.26626
300,6,19.8,0.5,5,0,3756.14472
300,6,19.8,0.5,5,0,3756.142345
300,6,19.8,0.5,5,0,3760.266331
300,6,19.8,0.5,5,0,3760.26641
300,6,19.8,0.5,5,0,3758.198315
300,6,19.8,0.5,5,0,3767.759947
300,6,19.8,0.5,5,0,3756.142574
300,6,19.8,0.5,5,0,3756.009309
300,6,19.8,0.5,5,0,3760.26641
300,6,19.8,0.5,5,0,3748.036655
300,6,19.8,0.5,5,0,3760.264665
300,6,19.8,0.5,5,0,3760.266409
300,6,19.8,0.5,5,0,3760.266363
300,6,19.8,0.5,5,0,3760.266107
300,6,19.8,0.5,5,0,3760.266042
300,6,19.8,0.5,5,0,3760.266435
300,6,19.8,0.5,5,0,3756.144988
300,6,19.8,0.7,1,1.98,1099.549373
300,6,19.8,0.7,1,4.95,686.5673828
300,6,19.8,0.7,1,9.9,17.2110483
300,6,19.8,0.7,1,19.8,17.2110483
300,6,19.8,0.7,2,1.98,1099.549373
300,6,19.8,0.7,2,4.95,686.5673828
300,6,19.8,0.7,2,9.9,17.2110483
300,6,19.8,0.7,2,19.8,17.2110483
300,6,19.8,0.7,3,1.98,1099.549373
300,6,19.8,0.7,3,4.95,686.5673828
300,6,19.8,0.7,3,9.9,17.2110483
300,6,19.8,0.7,3,19.8,17.2110483
300,6,19.8,0.7,4,0,2911.452693
300,6,19.8,0.7,4,0,2899.754962
300,6,19.8,0.7,4,0,2889.580945
300,6,19.8,0.7,4,0,2910.150042
300,6,19.8,0.7,4,0,2901.331198
300,6,19.8,0.7,4,0,2901.765045
300,6,19.8,0.7,4,0,2895.94759
300,6,19.8,0.7,4,0,2894.430021
300,6,19.8,0.7,4,0,2883.236766
300,6,19.8,0.7,4,0,2889.580945
300,6,19.8,0.7,4,0,2906.100838
300,6,19.8,0.7,4,0,2895.942359
300,6,19.8,0.7,4,0,2895.942087
300,6,19.8,0.7,4,0,2889.581027
300,6,19.8,0.7,4,0,2895.944411
300,6,19.8,0.7,4,0,2906.09272
300,6,19.8,0.7,4,0,2903.722645
300,6,19.8,0.7,4,0,2895.954139
300,6,19.8,0.7,4,0,2895.980924
300,6,19.8,0.7,4,0,2894.392497
300,6,19.8,0.7,5,0,4627.285793
300,6,19.8,0.7,5,0,4613.309018
300,6,19.8,0.7,5,0,4627.767152
300,6,19.8,0.7,5,0,4613.056559
300,6,19.8,0.7,5,0,4619.573442
300,6,19.8,0.7,5,0,4610.517038
300,6,19.8,0.7,5,0,4620.687408
300,6,19.8,0.7,5,0,4627.766808
300,6,19.8,0.7,5,0,4627.766809
300,6,19.8,0.7,5,0,4627.766808
300,6,19.8,0.7,5,0,4627.766809
300,6,19.8,0.7,5,0,4620.298726
300,6,19.8,0.7,5,0,4628.012415
300,6,19.8,0.7,5,0,4620.697252
300,6,19.8,0.7,5,0,4627.766809
300,6,19.8,0.7,5,0,4627.766809
300,6,19.8,0.7,5,0,4613.308039
300,6,19.8,0.7,5,0,4627.767758
300,6,19.8,0.7,5,0,4627.767154
300,6,19.8,0.7,5,0,4613.448277
300,6,19.8,0.9,1,1.98,1146.45332
