Time (s),Speed (m/s),Sticking C,k,killRate,Mode,Row spacing (m,Kill Total
300,9,0.75,0.4,0.9,2,20,3228.752454
300,9,0.75,0.6,0.5,2,2,1310.816952
300,9,0.75,0.6,0.5,2,5,1658.637017
300,9,0.75,0.6,0.5,2,10,1852.318823
300,9,0.75,0.6,0.5,2,20,2274.729187
300,9,0.75,0.6,0.7,2,2,1769.92634
300,9,0.75,0.6,0.7,2,5,2245.508765
300,9,0.75,0.6,0.7,2,10,2432.460875
300,9,0.75,0.6,0.7,2,20,2884.213541
300,9,0.75,0.6,0.9,2,2,2197.357819
300,9,0.75,0.6,0.9,2,5,2791.682112
300,9,0.75,0.6,0.9,2,10,2941.26388
300,9,0.75,0.6,0.9,2,20,3380.686053
300,12,0.25,0.2,0.5,2,2,1749.565806
300,12,0.25,0.2,0.5,2,5,1740.019677
300,12,0.25,0.2,0.5,2,10,1691.595753
300,12,0.25,0.2,0.5,2,20,1623.276823
300,12,0.25,0.2,0.7,2,2,2416.640455
300,12,0.25,0.2,0.7,2,5,2372.592504
300,12,0.25,0.2,0.7,2,10,2255.541652
300,12,0.25,0.2,0.7,2,20,2088.729336
300,12,0.25,0.2,0.9,2,2,3065.779092
300,12,0.25,0.2,0.9,2,5,2970.69453
300,12,0.25,0.2,0.9,2,10,2768.070053
300,12,0.25,0.2,0.9,2,20,2482.267237
300,12,0.25,0.4,0.5,2,2,1701.274003
300,12,0.25,0.4,0.5,2,5,1741.750415
300,12,0.25,0.4,0.5,2,10,1723.716901
300,12,0.25,0.4,0.5,2,20,1710.442324
300,12,0.25,0.4,0.7,2,2,2325.201508
300,12,0.25,0.4,0.7,2,5,2375.879869
300,12,0.25,0.4,0.7,2,10,2311.827486
300,12,0.25,0.4,0.7,2,20,2237.410228
300,12,0.25,0.4,0.9,2,2,2919.676962
300,12,0.25,0.4,0.9,2,5,2975.956453
300,12,0.25,0.4,0.9,2,10,2851.683116
300,12,0.25,0.4,0.9,2,20,2697.953019
300,12,0.25,0.6,0.5,2,2,1664.783319
300,12,0.25,0.6,0.5,2,5,1740.569076
300,12,0.25,0.6,0.5,2,10,1735.134746
300,12,0.25,0.6,0.5,2,20,1751.220949
300,12,0.25,0.6,0.7,2,2,2257.605654
300,12,0.25,0.6,0.7,2,5,2373.722088
300,12,0.25,0.6,0.7,2,10,2331.689017
300,12,0.25,0.6,0.7,2,20,2308.078717
300,12,0.25,0.6,0.9,2,2,2813.936795
300,12,0.25,0.6,0.9,2,5,2972.641125
300,12,0.25,0.6,0.9,2,10,2880.902874
300,12,0.25,0.6,0.9,2,20,2801.875711
300,12,0.5,0.2,0.5,2,2,1768.802546
300,12,0.5,0.2,0.5,2,5,1825.978629
300,12,0.5,0.2,0.5,2,10,1837.490873
300,12,0.5,0.2,0.5,2,20,1875.065127
300,12,0.5,0.2,0.7,2,2,2443.536057
300,12,0.5,0.2,0.7,2,5,2480.025554
300,12,0.5,0.2,0.7,2,10,2419.105791
300,12,0.5,0.2,0.7,2,20,2359.503702
300,12,0.5,0.2,0.9,2,2,3100.307202
300,12,0.5,0.2,0.9,2,5,3093.045741
300,12,0.5,0.2,0.9,2,10,2936.699364
300,12,0.5,0.2,0.9,2,20,2753.01365
300,12,0.5,0.4,0.5,2,2,1720.493268
300,12,0.5,0.4,0.5,2,5,1829.940934
300,12,0.5,0.4,0.5,2,10,1884.105979
300,12,0.5,0.4,0.5,2,20,1995.275486
300,12,0.5,0.4,0.7,2,2,2352.048512
300,12,0.5,0.4,0.7,2,5,2487.52586
300,12,0.5,0.4,0.7,2,10,2498.135865
300,12,0.5,0.4,0.7,2,20,2556.434766
300,12,0.5,0.4,0.9,2,2,2954.103392
300,12,0.5,0.4,0.9,2,5,3105.009346
300,12,0.5,0.4,0.9,2,10,3050.501549
300,12,0.5,0.4,0.9,2,20,3028.325024
300,12,0.5,0.6,0.5,2,2,1683.782152
300,12,0.5,0.6,0.5,2,5,1829.83061
300,12,0.5,0.6,0.5,2,10,1903.397591
300,12,0.5,0.6,0.5,2,20,2056.17048
300,12,0.5,0.6,0.7,2,2,2284.027538
300,12,0.5,0.6,0.7,2,5,2487.421391
300,12,0.5,0.6,0.7,2,10,2530.731148
300,12,0.5,0.6,0.7,2,20,2657.868443
300,12,0.5,0.6,0.9,2,2,2847.672683
300,12,0.5,0.6,0.9,2,5,3105.011002
300,12,0.5,0.6,0.9,2,10,3097.119778
300,12,0.5,0.6,0.9,2,20,3172.131167
300,12,0.75,0.2,0.5,2,2,1821.175537
300,12,0.75,0.2,0.5,2,5,2048.287053
300,12,0.75,0.2,0.5,2,10,2184.583386
300,12,0.75,0.2,0.5,2,20,2457.308946
300,12,0.75,0.2,0.7,2,2,2516.820625
300,12,0.75,0.2,0.7,2,5,2750.741939
300,12,0.75,0.2,0.7,2,10,2788.579833
300,12,0.75,0.2,0.7,2,20,2955.615852
300,12,0.75,0.2,0.9,2,2,3194.463981
300,12,0.75,0.2,0.9,2,5,3391.835202
300,12,0.75,0.2,0.9,2,10,3298.868492
300,12,0.75,0.2,0.9,2,20,3327.796547
300,12,0.75,0.4,0.5,2,2,1773.199439
300,12,0.75,0.4,0.5,2,5,2057.901318
300,12,0.75,0.4,0.5,2,10,2261.753813
300,12,0.75,0.4,0.5,2,20,2634.749422
300,12,0.75,0.4,0.7,2,2,2425.92877
300,12,0.75,0.4,0.7,2,5,2768.929298
300,12,0.75,0.4,0.7,2,10,2912.78316
300,12,0.75,0.4,0.7,2,20,3227.366646
300,12,0.75,0.4,0.9,2,2,3049.157772
300,12,0.75,0.4,0.9,2,5,3420.823509
300,12,0.75,0.4,0.9,2,10,3469.019484
300,12,0.75,0.4,0.9,2,20,3684.666955
300,12,0.75,0.6,0.5,2,2,1736.428885
300,12,0.75,0.6,0.5,2,5,2060.982083
300,12,0.75,0.6,0.5,2,10,2300.749861
300,12,0.75,0.6,0.5,2,20,2737.393818
300,12,0.75,0.6,0.7,2,2,2357.769202
300,12,0.75,0.6,0.7,2,5,2774.948818
300,12,0.75,0.6,0.7,2,10,2975.519439
300,12,0.75,0.6,0.7,2,20,3386.659042
300,12,0.75,0.6,0.9,2,2,2942.46754
300,12,0.75,0.6,0.9,2,5,3430.724484
300,12,0.75,0.6,0.9,2,10,3554.577737
300,12,0.75,0.6,0.9,2,20,3895.999181
600,6,0.25,0.2,0.5,2,2,1685.458548
600,6,0.25,0.2,0.5,2,5,1724.001254
600,6,0.25,0.2,0.5,2,10,1707.236705
600,6,0.25,0.2,0.5,2,20,1696.541027
600,6,0.25,0.2,0.7,2,2,2295.400465
600,6,0.25,0.2,0.7,2,5,2342.636175
600,6,0.25,0.2,0.7,2,10,2281.988418
600,6,0.25,0.2,0.7,2,20,2213.531308
600,6,0.25,0.2,0.9,2,2,2872.278278
600,6,0.25,0.2,0.9,2,5,2923.49313
600,6,0.25,0.2,0.9,2,10,2805.980728
600,6,0.25,0.2,0.9,2,20,2662.982684
600,6,0.25,0.4,0.5,2,2,1624.743288
600,6,0.25,0.4,0.5,2,5,1720.411989
600,6,0.25,0.4,0.5,2,10,1724.605415
600,6,0.25,0.4,0.5,2,20,1760.199524
600,6,0.25,0.4,0.7,2,2,2184.296048
600,6,0.25,0.4,0.7,2,5,2336.074922
600,6,0.25,0.4,0.7,2,10,2312.054068
600,6,0.25,0.4,0.7,2,20,2323.568903
600,6,0.25,0.4,0.9,2,2,2700.487662
600,6,0.25,0.4,0.9,2,5,2913.390915
600,6,0.25,0.4,0.9,2,10,2850.013353
600,6,0.25,0.4,0.9,2,20,2824.41082
600,6,0.25,0.6,0.5,2,2,1590.746306
600,6,0.25,0.6,0.5,2,5,1714.472008
600,6,0.25,0.6,0.5,2,10,1731.665332
600,6,0.25,0.6,0.5,2,20,1786.253401
600,6,0.25,0.6,0.7,2,2,2123.275265
600,6,0.25,0.6,0.7,2,5,2325.150417
600,6,0.25,0.6,0.7,2,10,2324.389564
600,6,0.25,0.6,0.7,2,20,2368.996009
600,6,0.25,0.6,0.9,2,2,2607.819818
600,6,0.25,0.6,0.9,2,5,2896.458724
600,6,0.25,0.6,0.9,2,10,2868.22911
600,6,0.25,0.6,0.9,2,20,2891.508357
600,6,0.5,0.2,0.5,2,2,1704.44996
600,6,0.5,0.2,0.5,2,5,1811.358189
600,6,0.5,0.2,0.5,2,10,1866.73369
600,6,0.5,0.2,0.5,2,20,1980.313539
600,6,0.5,0.2,0.7,2,2,2321.802749
600,6,0.5,0.2,0.7,2,5,2452.965081
600,6,0.5,0.2,0.7,2,10,2467.364126
600,6,0.5,0.2,0.7,2,20,2531.729431
600,6,0.5,0.2,0.9,2,2,2905.973483
600,6,0.5,0.2,0.9,2,5,3050.862515
600,6,0.5,0.2,0.9,2,10,3004.244416
