Time,Speed,Sigma,Kill Rate,Mode,Row Spacing,Transition,Result
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.6
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.6
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9975
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.4,9975
300,6,4.95,0.5,5,0,0.4,9974.3
300,6,4.95,0.5,5,0,0.4,9974.9
300,6,4.95,0.5,5,0,0.6,9974.7
300,6,4.95,0.5,5,0,0.6,9974.7
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.7
300,6,4.95,0.5,5,0,0.6,9974.9
300,6,4.95,0.5,5,0,0.6,9974.7
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.8
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.7
300,6,4.95,0.5,5,0,0.6,9974.8
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.9
300,6,4.95,0.5,5,0,0.6,9974.8
300,6,4.95,0.5,5,0,0.6,9974.5
300,6,4.95,0.5,5,0,0.6,9974.9
300,6,4.95,0.7,1,1.98,0.2,7471.1
300,6,4.95,0.7,1,1.98,0.4,8242.9
300,6,4.95,0.7,1,1.98,0.6,8554.8
300,6,4.95,0.7,1,4.95,0.2,4637.3
300,6,4.95,0.7,1,4.95,0.4,5011.9
300,6,4.95,0.7,1,4.95,0.6,5166
300,6,4.95,0.7,1,9.9,0.2,2734.5
300,6,4.95,0.7,1,9.9,0.4,3118.8
300,6,4.95,0.7,1,9.9,0.6,3299.4
300,6,4.95,0.7,1,19.8,0.2,2734.5
300,6,4.95,0.7,1,19.8,0.4,3118.8
300,6,4.95,0.7,1,19.8,0.6,3299.4
300,6,4.95,0.7,2,1.98,0.2,7471.1
300,6,4.95,0.7,2,1.98,0.4,8242.9
300,6,4.95,0.7,2,1.98,0.6,8554.8
300,6,4.95,0.7,2,4.95,0.2,4637.3
300,6,4.95,0.7,2,4.95,0.4,5011.9
300,6,4.95,0.7,2,4.95,0.6,5166
300,6,4.95,0.7,2,9.9,0.2,2734.5
300,6,4.95,0.7,2,9.9,0.4,3118.8
300,6,4.95,0.7,2,9.9,0.6,3299.4
300,6,4.95,0.7,2,19.8,0.2,2734.5
300,6,4.95,0.7,2,19.8,0.4,3118.8
300,6,4.95,0.7,2,19.8,0.6,3299.4
300,6,4.95,0.7,3,1.98,0.2,7471.1
300,6,4.95,0.7,3,1.98,0.4,8242.9
300,6,4.95,0.7,3,1.98,0.6,8554.8
300,6,4.95,0.7,3,4.95,0.2,4637.3
300,6,4.95,0.7,3,4.95,0.4,5011.9
300,6,4.95,0.7,3,4.95,0.6,5166
300,6,4.95,0.7,3,9.9,0.2,2734.5
300,6,4.95,0.7,3,9.9,0.4,3118.8
300,6,4.95,0.7,3,9.9,0.6,3299.4
300,6,4.95,0.7,3,19.8,0.2,2734.5
300,6,4.95,0.7,3,19.8,0.4,3118.8
300,6,4.95,0.7,3,19.8,0.6,3299.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.5
