Time,Speed,Sigma,Kill Rate,Mode,Row Spacing,Transition,Result
300,9,4.95,0.5,1,9.9,0.6,367.36
300,9,4.95,0.5,1,19.8,0.2,224.35
300,9,4.95,0.5,1,19.8,0.4,225.79
300,9,4.95,0.5,1,19.8,0.6,227.19
300,9,4.95,0.7,1,1.98,0.2,3091.4
300,9,4.95,0.7,1,1.98,0.4,3088
300,9,4.95,0.7,1,1.98,0.6,3084.8
300,9,4.95,0.7,1,4.95,0.2,1322.6
300,9,4.95,0.7,1,4.95,0.4,1322.6
300,9,4.95,0.7,1,4.95,0.6,1322.6
300,9,4.95,0.7,1,9.9,0.2,512.52
300,9,4.95,0.7,1,9.9,0.4,512.91
300,9,4.95,0.7,1,9.9,0.6,513.31
300,9,4.95,0.7,1,19.8,0.2,310.64
300,9,4.95,0.7,1,19.8,0.4,313.43
300,9,4.95,0.7,1,19.8,0.6,316.15
300,9,4.95,0.9,1,1.98,0.2,3855.6
300,9,4.95,0.9,1,1.98,0.4,3850.4
300,9,4.95,0.9,1,1.98,0.6,3845.3
300,9,4.95,0.9,1,4.95,0.2,1694
300,9,4.95,0.9,1,4.95,0.4,1694
300,9,4.95,0.9,1,4.95,0.6,1694
300,9,4.95,0.9,1,9.9,0.2,657.38
300,9,4.95,0.9,1,9.9,0.4,658.03
300,9,4.95,0.9,1,9.9,0.6,658.69
300,9,4.95,0.9,1,19.8,0.2,395.05
300,9,4.95,0.9,1,19.8,0.4,399.6
300,9,4.95,0.9,1,19.8,0.6,404.06
300,9,9.9,0.5,1,1.98,0.2,2212.8
300,9,9.9,0.5,1,1.98,0.4,2212.1
300,9,9.9,0.5,1,1.98,0.6,2211.4
300,9,9.9,0.5,1,4.95,0.2,968.22
300,9,9.9,0.5,1,4.95,0.4,968.19
300,9,9.9,0.5,1,4.95,0.6,968.15
300,9,9.9,0.5,1,9.9,0.2,481.66
300,9,9.9,0.5,1,9.9,0.4,481.82
300,9,9.9,0.5,1,9.9,0.6,481.98
300,9,9.9,0.5,1,19.8,0.2,399.86
300,9,9.9,0.5,1,19.8,0.4,403.08
300,9,9.9,0.5,1,19.8,0.6,406.16
300,9,9.9,0.7,1,1.98,0.2,2966.8
300,9,9.9,0.7,1,1.98,0.4,2965.5
300,9,9.9,0.7,1,1.98,0.6,2964.2
300,9,9.9,0.7,1,4.95,0.2,1345.7
300,9,9.9,0.7,1,4.95,0.4,1345.6
300,9,9.9,0.7,1,4.95,0.6,1345.5
300,9,9.9,0.7,1,9.9,0.2,672.01
300,9,9.9,0.7,1,9.9,0.4,672.32
300,9,9.9,0.7,1,9.9,0.6,672.63
300,9,9.9,0.7,1,19.8,0.2,546.1
300,9,9.9,0.7,1,19.8,0.4,552.28
300,9,9.9,0.7,1,19.8,0.6,558.21
300,9,9.9,0.9,1,1.98,0.2,3658.3
300,9,9.9,0.9,1,1.98,0.4,3656.2
300,9,9.9,0.9,1,1.98,0.6,3654.2
300,9,9.9,0.9,1,4.95,0.2,1717.7
300,9,9.9,0.9,1,4.95,0.4,1717.6
300,9,9.9,0.9,1,4.95,0.6,1717.5
300,9,9.9,0.9,1,9.9,0.2,861.03
300,9,9.9,0.9,1,9.9,0.4,861.54
300,9,9.9,0.9,1,9.9,0.6,862.06
300,9,9.9,0.9,1,19.8,0.2,684.94
300,9,9.9,0.9,1,19.8,0.4,694.94
300,9,9.9,0.9,1,19.8,0.6,704.57
300,9,19.8,0.5,1,1.98,0.2,1970
